;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
18;The Patriot : Le Chemin de la liberté;2000;Tous publics avec avertissement;165;['Action', ' Drama', ' History            '];7.2;63;Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.;['Roland Emmerich', None];['Mel Gibson', 'Heath Ledger', 'Joely Richardson', 'Jason Isaacs']
19;Retour à Cold Mountain;2003;Tous publics;154;['Adventure', ' Drama', ' History            '];7.2;73;In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.;['Anthony Minghella', None];['Jude Law', 'Nicole Kidman', 'Renée Zellweger', 'Eileen Atkins']
20;La dame de Windsor;1997;Tous publics;101;['Biography', ' Drama', ' History            '];7.2;71;When Queen Victoria's husband Prince Albert dies, she finds solace in her trusted servant, Mr. John Brown, but their relationship also brings scandal and turmoil.;['John Madden', None];['Judi Dench', 'Billy Connolly', 'Geoffrey Palmer', 'Antony Sher']
21;La folie du roi George;1994;Tous Public;110;['Biography', ' Comedy', ' Drama            '];7.2;89;When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.;['Nicholas Hytner', None];['Nigel Hawthorne', 'Helen Mirren', 'Rupert Graves', 'Amanda Donohoe']
22;Il était une fois en Chine;1991;Tous publics;134;['Action', ' Adventure', ' Drama            '];7.2;-1;Legendary martial arts hero Wong Fei-Hung fights against foreign forces' plundering of China. When Aunt Yee arrives back from America, Wong Fei-Hung assumes the role of her protector.;['Hark Tsui', None];['Jet Li', 'Rosamund Kwan', 'Biao Yuen', 'Jacky Cheung']
23;Les coulisses de l'exploit;1988;Tous publics;119;['Drama', ' History', ' Sport            '];7.2;71;A dramatization of the Black Sox scandal when the underpaid Chicago White Sox accepted bribes to deliberately lose the 1919 World Series.;['John Sayles', None];['John Cusack', 'Clifton James', 'Jace Alexander', 'Gordon Clapp']
24;Waterloo;I) (1970;Tous Public;134;['Action', ' Biography', ' Drama            '];7.2;-1;Facing the decline of everything he has worked to obtain, conqueror Napoleon Bonaparte and his army confront the British at the Battle of Waterloo.;['Sergey Bondarchuk', None];['Rod Steiger', 'Christopher Plummer', 'Orson Welles', 'Jack Hawkins']
25;Les Révoltés du Bounty;1962;Tous publics;178;['Adventure', ' Drama', ' History            '];7.2;48;In 1787, British ship Bounty leaves Portsmouth to bring a cargo of bread-fruit from Tahiti but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by officer Fletcher Christian.;['    Directors:', 'Lewis Milestone, ', 'Carol Reed', None];['Marlon Brando', 'Trevor Howard', 'Richard Harris', 'Hugh Griffith']
26;Le Cid;1961;Tous publics;182;['Biography', ' Drama', ' History            '];7.2;79;The fabled Spanish hero Rodrigo Diaz de Vivar (a.k.a. El Cid) overcomes a family vendetta and court intrigue to defend Christian Spain against the Moors.;['Anthony Mann', None];['Charlton Heston', 'Sophia Loren', 'Raf Vallone', 'Geneviève Page']
27;Jules César;1953;Tous Public;120;['Drama', ' History            '];7.2;-1;The growing ambition of Julius Caesar is a source of major concern to his close friend Brutus. Cassius persuades him to participate in his plot to assassinate Caesar but they have both sorely underestimated Mark Antony.;['Joseph L. Mankiewicz', None];['Louis Calhern', 'Marlon Brando', 'James Mason', 'John Gielgud']
28;Un espion ordinaire;2020;Tous publics;112;['Drama', ' History', ' Thriller            '];7.1;65;Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.;['Dominic Cooke', None];['Benedict Cumberbatch', 'Merab Ninidze', 'Rachel Brosnahan', 'Vladimir Chuprikov']
