;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
8;Le chat à neuf queues;1971;12;112;['Horror', ' Mystery', ' Thriller            '];6.6;63;A newspaper reporter and a retired, blind journalist try to solve a series of killings connected to a pharmaceutical company's top-secret experimental research projects, and in doing so, they become targets of the killer.;['Dario Argento', None];['James Franciscus', 'Karl Malden', 'Catherine Spaak', 'Pier Paolo Capponi']
9;La proie d'une ombre;2020;12;107;['Horror', ' Mystery', ' Thriller            '];6.5;68;A widow begins to uncover her recently deceased husband's disturbing secrets.;['David Bruckner', None];['Rebecca Hall', 'Sarah Goldberg', 'Vondie Curtis-Hall', 'Evan Jonigkeit']
10;His House;2020;16;93;['Drama', ' Horror', ' Thriller            '];6.5;72;A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.;['Remi Weekes', None];['Sope Dirisu', 'Wunmi Mosaku', 'Malaika Wakoli-Abigaba', 'Matt Smith']
11;The Hunt;II) (2020;12;90;['Action', ' Horror', ' Thriller            '];6.5;50;Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.;['Craig Zobel', None];['Betty Gilpin', 'Hilary Swank', 'Ike Barinholtz', 'Wayne Duvall']
12;Ça: Chapitre 2;2019;12;169;['Drama', ' Fantasy', ' Horror            '];6.5;58;Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.;['Andy Muschietti', None];['Jessica Chastain', 'James McAvoy', 'Bill Hader', 'Isaiah Mustafa']
13;Mandy;I) (2018;16;121;['Action', ' Fantasy', ' Horror            '];6.5;81;The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.;['Panos Cosmatos', None];['Nicolas Cage', 'Andrea Riseborough', 'Linus Roache', 'Ned Dennehy']
14;Possessor;2020;18;103;['Horror', ' Mystery', ' Sci-Fi            '];6.5;72;An agent works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.;['Brandon Cronenberg', None];['Andrea Riseborough', 'Christopher Abbott', 'Jennifer Jason Leigh', 'Rossif Sutherland']
15;Spontaneous;II) (2020;16;101;['Comedy', ' Drama', ' Horror            '];6.5;78;Get ready for the outrageous coming-of-age love story about growing up...and blowing up. When students in their school begin exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.;['Brian Duffield', None];['Katherine Langford', 'Charlie Plummer', 'Yvonne Orji', 'Hayley Law']
16;Annabelle 2 : La Création du mal;2017;12;109;['Horror', ' Mystery', ' Thriller            '];6.5;62;Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle.;['David F. Sandberg', None];['Anthony LaPaglia', 'Samara Lee', 'Miranda Otto', 'Brad Greenquist']
17;Watch Out;II) (2016;12;89;['Comedy', ' Horror', ' Thriller            '];6.5;67;On a quiet suburban street, a babysitter must defend a twelve-year-old boy from intruders, only to discover it's far from a normal home invasion.;['Chris Peckover', None];['Olivia DeJonge', 'Levi Miller', 'Ed Oxenbould', 'Aleks Mikic']
18;The Endless;I) (2017;Accord parental;111;['Drama', ' Fantasy', ' Horror            '];6.5;80;As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.;['    Directors:', 'Justin Benson, ', 'Aaron Moorhead', None];['Aaron Moorhead', 'Justin Benson', 'Callie Hernandez', 'Tate Ellington']
19;Love Hunters;2016;16;108;['Crime', ' Drama', ' Horror            '];6.5;73;Vicki Maloney is randomly abducted from a suburban street by a disturbed couple. As she observes the dynamic between her captors she quickly realises she must drive a wedge between them if she is to survive.;['Ben Young', None];['Emma Booth', 'Ashleigh Cummings', 'Stephen Curry', 'Susie Porter']
20;Jessie;2017;16;103;['Drama', ' Horror', ' Thriller            '];6.5;77;A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.;['Mike Flanagan', None];['Carla Gugino', 'Bruce Greenwood', 'Chiara Aurelia', 'Carel Struycken']
