;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
40;Encanto, la fantastique famille Madrigal;2021;Tous publics;102;['Animation', ' Comedy', ' Family            '];7.2;75;A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.;['    Directors:', 'Jared Bush, ', 'Byron Howard, ', 'Charise Castro Smith', None];['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo', 'Mauro Castillo']
41;La légende de Manolo;2014;Tous publics;95;['Animation', ' Adventure', ' Comedy            '];7.2;67;Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.;['Jorge R. Gutiérrez', None];['Diego Luna', 'Zoe Saldana', 'Channing Tatum', 'Ron Perlman']
42;Yeh Jawaani Hai Deewani;2013;Tous Public;160;['Drama', ' Musical', ' Romance            '];7.2;-1;Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.;['Ayan Mukerji', None];['Ranbir Kapoor', 'Deepika Padukone', 'Aditya Roy Kapoor', 'Kalki Koechlin']
43;Chicago;2002;Tous publics;113;['Comedy', ' Crime', ' Musical            '];7.2;81;Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.;['Rob Marshall', None];['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Taye Diggs']
44;Le fantôme de l'opéra;2004;Tous Public;143;['Drama', ' Musical', ' Romance            '];7.2;40;A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.;['Joel Schumacher', None];['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson']
45;Basil, détective privé;1986;Tous Public;74;['Animation', ' Adventure', ' Family            '];7.2;73;Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.;['    Directors:', 'Ron Clements, ', 'Burny Mattinson, ', 'David Michener, ', 'John Musker', None];['Vincent Price', 'Barrie Ingham', 'Val Bettin', 'Susanne Pollatschek']
46;Grease;1978;Tous publics;110;['Comedy', ' Musical', ' Romance            '];7.2;70;Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?;['Randal Kleiser', None];['John Travolta', 'Olivia Newton-John', 'Stockard Channing', 'Jeff Conaway']
47;La Belle au bois dormant;1959;Tous publics;75;['Animation', ' Adventure', ' Family            '];7.2;85;After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.;['    Directors:', 'Les Clark, ', 'Clyde Geronimi, ', 'Eric Larson, ', 'Wolfgang Reitherman, ', 'Hamilton Luske', None];['Mary Costa', 'Bill Shirley', 'Eleanor Audley', 'Verna Felton']
48;La blonde du Far-West;1953;Tous Public;101;['Musical', ' Romance', ' Western            '];7.2;-1;The story of Calamity Jane, her saloon, and her romance with Wild Bill Hickok.;['David Butler', None];['Doris Day', 'Howard Keel', 'Allyn Ann McLerie', 'Philip Carey']
49;Un Américain à Paris;1951;Tous publics;114;['Drama', ' Musical', ' Romance            '];7.2;83;Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.;['Vincente Minnelli', None];['Gene Kelly', 'Leslie Caron', 'Oscar Levant', 'Georges Guétary']
